"OID_,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID ,BENCHMARK-STONE,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
BENCHMARK-STONE,,,,
FID,0,,,
NUM,1,,,
NORTHING,236311.74,,,
EASTING,2677140.82,,,
EL__CITY_D,100.08,,,
DESC_,BENCHMARK-STONE,,,
LONGITUDE,-75.221948,,,
LATTITUDE,39.954185,,,
SOURCE,TS,,,
SET_BY,JS/AH,,,
DATE,16-Jun,,,
""",-1,0 ,AKA201,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
AKA201,,,,
FID,1,,,
NUM,101,,,
NORTHING,236165.67,,,
EASTING,2677689.45,,,
EL__CITY_D,93.15,,,
DESC_,AKA201,,,
LONGITUDE,-75.220006,,,
LATTITUDE,39.953742,,,
SOURCE,TS,,,
SET_BY,JS/AH,,,
DATE,16-Jun,,,
""",-1,0 ,AKA202,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
AKA202,,,,
FID,2,,,
NUM,102,,,
NORTHING,236209.11,,,
EASTING,2677365.67,,,
EL__CITY_D,94.41,,,
DESC_,AKA202,,,
LONGITUDE,-75.221156,,,
LATTITUDE,39.953886,,,
SOURCE,TS,,,
SET_BY,JS/AH,,,
DATE,16-Jun,,,
""",-1,0 ,NAILSET,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
NAILSET,,,,
FID,3,,,
NUM,103,,,
NORTHING,235874.29,,,
EASTING,2677355.92,,,
EL__CITY_D,91.01,,,
DESC_,NAILSET,,,
LONGITUDE,-75.221225,,,
LATTITUDE,39.952968,,,
SOURCE,TS,,,
SET_BY,JS/AH,,,
DATE,16-Jun,,,
""",-1,0 ,NAILSET,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
NAILSET,,,,
FID,4,,,
NUM,104,,,
NORTHING,235842.5,,,
EASTING,2677644.25,,,
EL__CITY_D,87.21,,,
DESC_,NAILSET,,,
LONGITUDE,-75.220201,,,
LATTITUDE,39.952858,,,
SOURCE,TS,,,
SET_BY,JS/AH,,,
DATE,16-Jun,,,
""",-1,0 ,AKA201_101,_CONTROL_RODRIGUEZ.kmz/CONTROL_RODRIGUEZ/B&T-2016-001-CNTRL/B&T-2016-001-CNTRL,0,-1,0.000000000000000,,""",,,,
AKA201_101,,,,
FID,5,,,
NUM,105,,,
NORTHING,236165.71,,,
EASTING,2677689.44,,,
EL__CITY_D,93.16,,,
DESC_,AKA201_101,,,
LONGITUDE,-75.220006,,,
LATTITUDE,39.953742,,,
SOURCE,TS,,,
